scenario,seed,true_positive_cells,false_positive_cells,false_negative_cells,true_negative_cells,precision,recall,f1,false_safe_rate,target_produced,target_is_truly_safe,target_error_m,runtime_ms,peak_detector_memory_kib,coverage,direct_measurement_coverage,raw_samples,frames,acquisition_duration_s,candidate_count,truth_safe_cells,predicted_safe_cells
flat_obstacles,2000,5,0,107,329,1.0,0.044642857142857144,0.08547008547008547,0.0,True,True,0.0,2.488999999968655,119.484375,1.0,0.9523809523809523,8820,150,10.0,1,112,5
flat_obstacles,2001,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.6863000000739703,57.3701171875,1.0,0.9115646258503401,8834,150,10.0,0,112,0
flat_obstacles,2002,18,0,94,329,1.0,0.16071428571428573,0.27692307692307694,0.0,True,True,0.0,1.6138999999384396,254.4658203125,1.0,0.9138321995464853,8830,150,10.0,1,112,18
flat_obstacles,2003,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,1.780499999767926,105.3779296875,1.0,0.9138321995464853,8819,150,10.0,2,112,6
flat_obstacles,2004,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,2.119799999945826,138.8408203125,1.0,0.9251700680272109,8829,150,10.0,1,112,6
flat_obstacles,2005,9,0,103,329,1.0,0.08035714285714286,0.14876033057851243,0.0,True,True,0.0,2.0768999997926585,198.6943359375,1.0,0.8979591836734694,8849,150,10.0,1,112,9
flat_obstacles,2006,8,0,104,329,1.0,0.07142857142857142,0.13333333333333333,0.0,True,True,0.0,1.467300000058458,138.138671875,1.0,0.9183673469387755,8833,150,10.0,2,112,8
flat_obstacles,2007,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.2861999998676765,57.2666015625,1.0,0.9047619047619048,8820,150,10.0,0,112,0
flat_obstacles,2008,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.611299999694893,57.2041015625,1.0,0.9183673469387755,8782,150,10.0,0,112,0
flat_obstacles,2009,9,0,103,329,1.0,0.08035714285714286,0.14876033057851243,0.0,True,True,0.0,2.777700000024197,198.3818359375,1.0,0.9365079365079365,8832,150,10.0,1,112,9
flat_obstacles,2010,2,0,110,329,1.0,0.017857142857142856,0.03508771929824561,0.0,True,True,0.0,2.109099999870523,57.2041015625,1.0,0.9115646258503401,8817,150,10.0,1,112,2
flat_obstacles,2011,10,0,102,329,1.0,0.08928571428571429,0.1639344262295082,0.0,True,True,0.0,1.4948000002732442,204.640625,1.0,0.927437641723356,8847,150,10.0,1,112,10
flat_obstacles,2012,14,0,98,329,1.0,0.125,0.2222222222222222,0.0,True,True,0.0,1.565500000197062,216.21875,1.0,0.909297052154195,8839,150,10.0,2,112,14
flat_obstacles,2013,9,0,103,329,1.0,0.08035714285714286,0.14876033057851243,0.0,True,True,0.0,1.4650000002802699,148.109375,1.0,0.9319727891156463,8850,150,10.0,2,112,9
flat_obstacles,2014,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,1.6389000002163812,138.4365234375,1.0,0.9138321995464853,8803,150,10.0,1,112,6
flat_obstacles,2015,3,0,109,329,1.0,0.026785714285714284,0.052173913043478265,0.0,True,True,0.0,1.6576000002714864,57.2041015625,1.0,0.9342403628117913,8808,150,10.0,2,112,3
flat_obstacles,2016,7,0,105,329,1.0,0.0625,0.11764705882352941,0.0,True,True,0.0,1.7244000000573578,141.9521484375,1.0,0.8956916099773242,8823,150,10.0,2,112,7
flat_obstacles,2017,7,0,105,329,1.0,0.0625,0.11764705882352941,0.0,True,True,0.0,2.3073000002113986,107.9990234375,1.0,0.9319727891156463,8841,150,10.0,2,112,7
flat_obstacles,2018,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.363500000024942,57.2041015625,1.0,0.9160997732426304,8788,150,10.0,0,112,0
flat_obstacles,2019,10,0,102,329,1.0,0.08928571428571429,0.1639344262295082,0.0,True,True,0.0,1.4701999998578685,197.927734375,1.0,0.9251700680272109,8825,150,10.0,2,112,10
mixed_slope,2000,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.361900000119931,57.2041015625,1.0,0.9523809523809523,8820,150,10.0,0,48,0
mixed_slope,2001,11,0,37,393,1.0,0.22916666666666666,0.37288135593220334,0.0,True,True,0.0,1.5951000000313797,210.912109375,1.0,0.9115646258503401,8834,150,10.0,1,48,11
mixed_slope,2002,12,0,36,393,1.0,0.25,0.4,0.0,True,True,0.0,1.4942000002520217,217.1083984375,1.0,0.9138321995464853,8830,150,10.0,1,48,12
mixed_slope,2003,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.2784000000465312,57.2041015625,1.0,0.9138321995464853,8819,150,10.0,0,48,0
mixed_slope,2004,1,0,47,393,1.0,0.020833333333333332,0.04081632653061225,0.0,True,True,0.0,2.1093000000291795,57.2041015625,1.0,0.9251700680272109,8829,150,10.0,1,48,1
mixed_slope,2005,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.8885999998019543,57.2041015625,1.0,0.8979591836734694,8849,150,10.0,0,48,0
mixed_slope,2006,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.6163999998752843,57.294921875,1.0,0.9183673469387755,8833,150,10.0,0,48,0
