target_s,actual_s,max_range_m,selected_points,usable_normals,usable_fraction,range_p50_m,range_p90_m,eig_min,eig_mid,eig_max,eig6_min_scale1,eig6_min_scale3,eig6_min_scale5
26,25.998157,10.0,8000,4176,0.522,0.7639999590901462,1.759999911264223,0.020183134207140675,0.4484959615729156,0.5313209042199435,0.00915771599835552,0.0018816137968096184,0.0007038023470523659
26,25.998157,20.0,8000,4381,0.547625,0.7680000194079346,1.9199999733345483,0.021120616417919305,0.43182578376161934,0.5470535998204614,0.012235305831327634,0.002424934299148634,0.0008936455062110172
27,26.996536,10.0,8000,3118,0.38975,0.6239999727074523,1.6279999498939752,0.03542918151715899,0.40908129539297294,0.5554895230898679,0.011317648296741596,0.0029400826690393874,0.0011409794927996373
27,26.996536,20.0,8000,3030,0.37875,0.6399999460556667,1.8044000573978163,0.030023419297930867,0.41253203119494974,0.5574445495071195,0.01044650765427908,0.0030158306886987514,0.0011855053177105958
28,27.997421,10.0,8000,3078,0.38475,0.6699999876449071,2.264000110910129,0.07691434867518997,0.3634411331341702,0.5596445181906399,0.032994169917352795,0.007992497473644455,0.0029559434987765534
28,27.997421,20.0,8000,2782,0.34775,0.6800000205404599,2.6564000152591043,0.08813070810882302,0.36065803526946366,0.5512112566217134,0.04279953383557112,0.026139182641674693,0.01292822061902306
29,28.998036,10.0,8000,3596,0.4495,0.8439999823315008,1.8519999118455552,0.04543387471079736,0.370304981003456,0.5842611442857472,0.033533429632550155,0.003789332853399886,0.0013644756957087772
29,28.998036,20.0,8000,3438,0.42975,0.8960000331554967,2.9199999864963204,0.02917788220632569,0.36898545455914006,0.6018366632345339,0.027131027854419263,0.004815272133005186,0.001740110595753366
30,29.998708,10.0,8000,2732,0.3415,0.6560000252888847,1.6079998755141132,0.1304188393507452,0.2602825523552984,0.6092986082939563,0.031759689634212246,0.003869773170846442,0.001394774232591385
30,29.998708,20.0,8000,2653,0.331625,0.6840000501782988,1.8564000208453246,0.14925982631659915,0.25749818518520806,0.5932419884981923,0.03584116680631926,0.006940091694243031,0.0025954438483875263
35,34.997090,10.0,8000,3406,0.42575,1.9760001144949673,4.015999866466622,0.14417177711266935,0.2111997696854366,0.6446284532018941,0.09845862380143927,0.034702063069594016,0.013459513204375904
35,34.997090,20.0,8000,3388,0.4235,2.4340000260231704,16.279999431971866,0.12583033701017435,0.20576912954603382,0.6684005334437919,0.07970109051867975,0.060528786216844196,0.02722352830779172
36,35.997072,10.0,8000,4014,0.50175,2.367999810011372,5.8964001968254385,0.06347795875430785,0.28142032837878467,0.6551017128669072,0.052186619598774985,0.03088312959911319,0.011682348002899188
36,35.997072,20.0,8000,3780,0.4725,2.7880001398099568,15.328399962640692,0.14491269047001584,0.2735204662389827,0.5815668432910016,0.04719286562608784,0.044599235566976494,0.03990579853502456
37,36.998370,10.0,8000,3195,0.399375,1.4599999939604382,3.319999923232459,0.056678331194921695,0.2507827887656947,0.6925388800393839,0.05115300922423223,0.01893780622968614,0.007035528792959769
37,36.998370,20.0,8000,2985,0.373125,1.8119999421237725,16.58439877966333,0.1372405814370518,0.2737989120649166,0.5889605064980314,0.04715827376135549,0.04485075208865258,0.04057414206019533
38,37.997836,10.0,8000,1520,0.19,0.5480000266652942,7.060000185022161,0.12055899556703577,0.22882986768255364,0.6506111367504108,0.09203403512467102,0.062134026560656,0.02919191702253395
38,37.997836,20.0,8000,1772,0.2215,0.9879999642297769,15.67640044946944,0.22618425458500438,0.28124440405237244,0.49257134136262315,0.0564786120966335,0.05305350144759283,0.046730882456746475
39,38.997416,10.0,8000,1800,0.225,0.47599999992474595,7.296400431216805,0.17441602072728732,0.24092933753107387,0.5846546417416388,0.15161752469611176,0.06135248521985417,0.02227545038586182
39,38.997416,20.0,8000,1534,0.19175,1.4880000079265128,17.40479934538441,0.12471383001338114,0.3100773823598533,0.5652087876267653,0.09944893841143818,0.09480774105541945,0.07091250635597131
