scenario,seed,true_positive_cells,false_positive_cells,false_negative_cells,true_negative_cells,precision,recall,f1,false_safe_rate,target_produced,target_is_truly_safe,target_error_m,runtime_ms,peak_detector_memory_kib,coverage,direct_measurement_coverage,raw_samples,frames,acquisition_duration_s,candidate_count,truth_safe_cells,predicted_safe_cells
flat_obstacles,0,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.5066999999362451,58.162109375,1.0,0.9183673469387755,8808,150,10.0,0,112,0
flat_obstacles,1,4,0,108,329,1.0,0.03571428571428571,0.0689655172413793,0.0,True,True,0.0,2.2586000000046624,98.388671875,1.0,0.9229024943310657,8862,150,10.0,1,112,4
flat_obstacles,2,13,0,99,329,1.0,0.11607142857142858,0.208,0.0,True,True,0.0,1.711899999918387,197.01953125,1.0,0.9047619047619048,8807,150,10.0,2,112,13
flat_obstacles,3,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,2.3312000002988498,105.1357421875,1.0,0.9365079365079365,8847,150,10.0,2,112,6
flat_obstacles,4,23,0,89,329,1.0,0.20535714285714285,0.34074074074074073,0.0,True,True,0.0,1.6968999998425716,287.646484375,1.0,0.9251700680272109,8898,150,10.0,2,112,23
flat_obstacles,5,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.6107000001284177,57.3115234375,1.0,0.9342403628117913,8858,150,10.0,0,112,0
flat_obstacles,6,10,0,102,329,1.0,0.08928571428571429,0.1639344262295082,0.0,True,True,0.0,2.7345000003151654,202.1396484375,1.0,0.9319727891156463,8815,150,10.0,2,112,10
flat_obstacles,7,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.2447999997675652,57.3115234375,1.0,0.9659863945578231,8882,150,10.0,0,112,0
flat_obstacles,8,21,0,91,329,1.0,0.1875,0.3157894736842105,0.0,True,True,0.0,2.378600000156439,232.615234375,1.0,0.9206349206349206,8892,150,10.0,2,112,21
flat_obstacles,9,3,0,109,329,1.0,0.026785714285714284,0.052173913043478265,0.0,True,True,0.0,2.0610000001397566,77.677734375,1.0,0.8979591836734694,8861,150,10.0,1,112,3
flat_obstacles,10,2,0,110,329,1.0,0.017857142857142856,0.03508771929824561,0.0,True,True,0.0,1.85090000013588,57.2490234375,1.0,0.8888888888888888,8815,150,10.0,1,112,2
flat_obstacles,11,2,0,110,329,1.0,0.017857142857142856,0.03508771929824561,0.0,True,True,0.0,2.1471000000019558,57.337890625,1.0,0.9229024943310657,8822,150,10.0,1,112,2
flat_obstacles,12,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.472100000228238,57.2490234375,1.0,0.9206349206349206,8807,150,10.0,0,112,0
flat_obstacles,13,0,0,112,329,1.0,0.0,0.0,0.0,False,,,2.0629000000553788,57.2490234375,1.0,0.9319727891156463,8835,150,10.0,0,112,0
flat_obstacles,14,4,0,108,329,1.0,0.03571428571428571,0.0689655172413793,0.0,True,True,0.0,2.337500000066939,98.0146484375,1.0,0.9206349206349206,8869,150,10.0,1,112,4
flat_obstacles,15,38,0,74,329,1.0,0.3392857142857143,0.5066666666666666,0.0,True,True,0.0,2.5713999998515646,325.1533203125,1.0,0.9229024943310657,8852,150,10.0,2,112,38
flat_obstacles,16,2,0,110,329,1.0,0.017857142857142856,0.03508771929824561,0.0,True,True,0.0,1.6784999997980776,57.25,1.0,0.8956916099773242,8828,150,10.0,1,112,2
flat_obstacles,17,25,0,87,329,1.0,0.22321428571428573,0.36496350364963503,0.0,True,True,0.0,2.207699999871693,340.8486328125,1.0,0.9160997732426304,8790,150,10.0,1,112,25
flat_obstacles,18,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,1.3991999999234395,138.482421875,1.0,0.9002267573696145,8853,150,10.0,1,112,6
flat_obstacles,19,12,0,100,329,1.0,0.10714285714285714,0.19354838709677416,0.0,True,True,0.0,1.4443000000028405,217.2021484375,1.0,0.9206349206349206,8842,150,10.0,1,112,12
flat_obstacles,20,8,0,104,329,1.0,0.07142857142857142,0.13333333333333333,0.0,True,True,0.0,1.6751000002841465,178.5439453125,1.0,0.9251700680272109,8813,150,10.0,1,112,8
flat_obstacles,21,7,0,105,329,1.0,0.0625,0.11764705882352941,0.0,True,True,0.0,1.4430000001084409,158.4453125,1.0,0.9251700680272109,8807,150,10.0,1,112,7
flat_obstacles,22,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.3710999996874307,57.25,0.9977324263038548,0.9024943310657596,8846,150,10.0,0,112,0
flat_obstacles,23,2,0,110,329,1.0,0.017857142857142856,0.03508771929824561,0.0,True,True,0.0,1.4769999997952254,57.2021484375,1.0,0.9229024943310657,8861,150,10.0,1,112,2
flat_obstacles,24,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.6859000002114044,57.25,1.0,0.927437641723356,8882,150,10.0,0,112,0
flat_obstacles,25,12,0,100,329,1.0,0.10714285714285714,0.19354838709677416,0.0,True,True,0.0,2.150099999653321,214.2412109375,1.0,0.9433106575963719,8869,150,10.0,2,112,12
flat_obstacles,26,8,0,104,329,1.0,0.07142857142857142,0.13333333333333333,0.0,True,True,0.0,2.086100000269653,137.8740234375,1.0,0.9070294784580499,8877,150,10.0,2,112,8
flat_obstacles,27,0,0,112,329,1.0,0.0,0.0,0.0,False,,,2.378200000293873,57.25,1.0,0.9251700680272109,8818,150,10.0,0,112,0
flat_obstacles,28,0,0,112,329,1.0,0.0,0.0,0.0,False,,,2.0400000003064633,57.2041015625,1.0,0.9070294784580499,8815,150,10.0,0,112,0
flat_obstacles,29,5,0,107,329,1.0,0.044642857142857144,0.08547008547008547,0.0,True,True,0.0,2.295799999956216,118.2861328125,1.0,0.9229024943310657,8825,150,10.0,1,112,5
flat_obstacles,30,1,0,111,329,1.0,0.008928571428571428,0.017699115044247787,0.0,True,True,0.0,2.4767999998402956,57.2041015625,1.0,0.9342403628117913,8833,150,10.0,1,112,1
flat_obstacles,31,17,0,95,329,1.0,0.15178571428571427,0.26356589147286824,0.0,True,True,0.0,2.136999999947875,205.2578125,1.0,0.9297052154195011,8792,150,10.0,2,112,17
flat_obstacles,32,3,0,109,329,1.0,0.026785714285714284,0.052173913043478265,0.0,True,True,0.0,2.1789000002172543,77.626953125,1.0,0.9047619047619048,8878,150,10.0,1,112,3
flat_obstacles,33,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,1.765500000146858,138.390625,1.0,0.9365079365079365,8834,150,10.0,1,112,6
